age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome
2,2,0,1,0,750,0,0,0,18,0,6,-1,0,0
0,0,0,0,0,606,1,0,0,20,1,1,-1,0,0
1,3,2,2,0,1097,0,0,1,12,0,2,-1,0,0
0,0,1,0,0,493,0,0,0,11,0,1,367,7,1
0,5,0,2,0,8238,0,1,1,30,0,4,-1,0,0
0,0,0,0,0,8,1,0,0,23,1,3,-1,0,0
2,4,0,2,0,400,1,0,0,21,0,3,-1,0,0
1,2,0,2,0,125,0,0,1,29,0,2,-1,0,0
0,2,0,3,0,0,1,0,0,2,1,1,193,3,1
2,2,0,1,0,902,1,0,1,9,0,2,-1,0,0
2,7,2,2,0,4189,1,0,2,14,0,2,-1,0,0
1,2,0,2,0,687,0,0,1,9,0,1,-1,0,0
1,5,0,2,0,314,0,0,0,17,1,1,-1,0,0
1,2,0,2,0,373,0,0,0,14,0,9,344,1,1
1,6,1,1,0,26965,1,0,0,21,1,2,-1,0,0
0,5,0,2,0,368,1,0,0,20,0,1,90,4,2
1,4,0,2,0,500,0,0,1,6,0,18,-1,0,0
2,0,0,1,0,3371,1,0,0,11,1,2,-1,0,0
0,3,1,2,0,2442,1,0,0,16,1,3,-1,0,0
2,0,0,1,0,252,0,1,0,13,1,2,147,3,1
0,0,0,0,0,4039,1,1,0,25,0,2,-1,0,0
0,0,0,0,0,2763,0,0,1,2,0,2,-1,0,0
0,5,0,2,0,638,0,0,0,20,0,9,-1,0,0
1,3,0,2,0,84,1,1,0,29,0,3,-1,0,0
2,3,0,2,0,1233,0,0,1,11,2,1,100,2,2
1,10,1,1,0,103,1,0,0,10,0,2,-1,0,0
0,3,2,2,0,23,1,0,0,20,0,2,-1,0,0
1,8,1,1,0,406,1,0,0,4,1,1,-1,0,0
2,0,0,0,0,334,0,0,1,15,0,2,-1,0,0
1,4,1,2,0,2685,1,1,1,24,0,1,-1,0,0
0,5,0,2,0,262,0,0,0,9,0,1,-1,0,0
1,9,1,1,0,4,0,0,1,13,0,2,-1,0,0
0,3,0,0,0,1539,0,0,0,15,0,1,56,1,2
0,4,1,1,0,1893,0,0,1,3,0,6,-1,0,0
0,0,0,0,0,6945,1,0,0,5,0,5,356,3,1
0,3,0,2,0,0,0,0,0,9,1,1,96,5,3
2,1,2,2,0,1291,0,0,1,3,0,2,-1,0,0
0,2,0,2,0,376,0,0,1,7,0,1,-1,0,0
2,2,0,1,0,0,0,0,0,31,0,25,-1,0,0
1,2,1,2,0,3792,1,0,0,22,1,2,-1,0,0
2,0,0,2,0,1471,1,0,0,12,0,2,-1,0,0
1,3,1,2,0,2979,1,0,0,25,0,1,-1,0,0
1,2,0,2,0,358,1,0,0,21,0,5,-1,0,0
2,0,2,0,0,2171,0,1,2,18,1,1,-1,0,0
1,4,0,2,0,804,0,1,1,8,0,1,-1,0,0
1,5,1,2,0,620,0,0,1,26,0,3,-1,0,0
1,10,1,2,0,304,1,0,0,26,0,2,-1,0,0
2,0,0,2,0,335,1,0,0,21,2,1,182,1,1
2,11,0,0,0,353,1,0,0,27,2,1,93,2,1
1,0,0,0,0,582,0,0,0,15,0,2,-1,0,0
0,8,0,2,0,0,0,0,0,19,1,1,183,1,1
0,3,2,0,1,3,1,0,0,6,0,1,-1,0,0
1,10,1,3,0,145,1,0,0,14,0,1,-1,0,0
0,3,0,2,0,1066,1,0,0,11,1,3,-1,0,0
0,6,0,1,0,1832,1,0,0,6,1,4,-1,0,0
2,11,0,3,0,558,1,0,0,9,0,1,683,6,1
1,8,1,0,0,343,1,0,0,1,0,1,-1,0,0
1,0,1,0,0,0,0,0,0,16,0,5,-1,0,0
1,1,1,0,0,61,1,0,0,19,0,3,-1,0,0
2,9,0,1,0,199,1,0,1,13,0,2,-1,0,0
1,2,0,3,0,-120,0,0,0,3,1,3,201,2,1
0,0,1,0,0,8669,0,0,2,20,1,3,150,6,1
1,9,0,2,0,-118,0,1,1,27,0,3,-1,0,0
2,0,0,1,0,2587,1,0,0,4,2,2,94,2,3
0,0,0,1,0,4758,0,0,0,22,0,6,-1,0,0
0,3,2,2,0,902,0,0,0,10,1,2,180,5,1
1,0,0,0,0,944,1,0,0,29,2,2,-1,0,0
0,3,0,2,0,2,1,0,2,28,2,3,-1,0,0
0,2,0,2,0,1221,0,0,0,6,0,1,90,8,1
0,0,0,0,0,1852,1,0,1,8,0,1,-1,0,0
1,2,0,2,0,759,0,0,0,9,1,5,-1,0,0
2,7,0,0,0,1948,1,0,0,28,2,1,91,4,3
1,10,1,2,0,153,1,0,0,23,0,2,-1,0,0
1,2,0,2,0,2788,0,0,1,6,0,2,-1,0,0
2,6,1,2,0,254,1,0,0,8,2,1,-1,0,0
0,3,0,2,0,6728,1,0,0,25,1,1,96,4,3
0,9,2,0,0,66,1,0,0,18,1,2,-1,0,0
1,1,1,0,0,442,1,0,0,19,0,3,95,3,2
1,1,0,0,0,242,0,0,0,18,0,4,-1,0,0
2,3,2,2,0,320,1,0,0,9,0,1,-1,0,0
1,2,1,2,0,174,0,1,0,18,0,1,-1,0,0
0,3,1,2,0,5039,1,0,0,20,1,6,-1,0,0
0,3,1,0,0,2273,0,0,0,17,1,1,-1,0,0
2,0,0,1,0,1727,1,0,2,25,0,4,358,2,1
2,4,0,2,0,657,1,0,2,7,0,2,460,2,1
0,3,0,2,0,480,1,0,0,22,2,2,182,8,2
0,0,2,0,0,221,0,0,1,7,0,2,-1,0,0
0,4,1,2,0,106,1,0,1,12,0,2,-1,0,0
2,0,1,0,1,-55,0,0,0,18,0,6,-1,0,0
1,3,1,2,0,5235,1,0,0,7,0,3,-1,0,0
0,5,0,2,0,247,1,0,0,8,2,2,-1,0,0
1,1,1,0,0,1153,1,0,0,4,0,3,-1,0,0
1,3,1,0,0,969,1,0,0,15,0,1,-1,0,0
0,3,2,2,0,69,0,0,1,8,0,3,-1,0,0
1,8,0,2,0,10,0,0,1,6,0,4,-1,0,0
2,6,0,1,0,0,1,0,0,23,1,1,189,1,1
0,2,0,2,0,131,0,0,1,9,0,2,-1,0,0
0,6,0,1,0,83,1,1,0,7,0,1,-1,0,0
2,2,0,1,0,1164,0,0,1,8,0,2,-1,0,0
0,0,2,0,0,4567,0,1,0,16,0,1,-1,0,0
1,10,1,2,0,2488,1,0,0,30,0,6,169,3,3
1,0,0,0,0,273,0,0,1,16,0,1,-1,0,0
2,2,0,1,0,36,1,0,0,13,0,2,-1,0,0
2,0,0,0,0,1167,0,1,0,1,0,1,-1,0,0
1,0,0,0,0,325,0,0,0,18,0,2,-1,0,0
0,3,0,0,0,197,1,0,0,20,0,3,-1,0,0
2,5,0,2,0,1796,1,0,2,16,2,1,91,2,3
2,3,0,2,0,1,1,0,0,15,1,2,378,3,1
0,0,2,0,0,5037,1,0,0,23,1,9,185,5,2
2,5,0,2,0,-396,0,0,0,11,0,1,350,1,1
2,7,0,2,0,1467,1,1,0,29,0,2,-1,0,0
2,3,0,0,0,2557,1,0,0,28,2,5,204,2,3
0,5,0,2,0,132,1,0,0,19,0,1,84,3,3
2,0,0,0,0,2764,1,0,0,24,2,1,206,2,1
2,2,0,1,0,627,0,0,1,5,0,1,-1,0,0
2,0,0,0,0,-11,0,0,0,11,0,4,-1,0,0
1,4,0,2,0,38,0,0,0,15,0,1,-1,0,0
1,5,0,2,0,-97,0,0,0,29,2,1,225,2,3
2,1,2,0,0,1382,1,0,1,9,0,1,-1,0,0
1,2,0,2,0,86,0,0,1,19,0,1,-1,0,0
1,0,0,2,0,466,0,0,0,14,0,1,-1,0,0
2,0,0,0,0,2169,1,0,0,7,0,1,-1,0,0
0,2,2,2,0,0,0,0,0,21,1,4,-1,0,0
2,4,2,2,0,462,1,0,0,13,1,1,93,1,3
0,8,0,2,0,1978,1,0,0,9,2,1,182,1,3
2,7,0,0,0,0,0,1,1,28,0,1,-1,0,0
2,1,0,2,1,2,1,0,0,5,1,2,-1,0,0
0,2,0,1,0,0,0,0,0,24,0,6,-1,0,0
2,0,0,0,0,15,1,0,0,20,0,2,-1,0,0
1,2,0,2,0,1545,0,1,0,13,0,1,-1,0,0
0,1,0,0,0,6000,0,0,0,18,1,1,-1,0,0
0,4,0,2,0,4760,0,0,0,20,1,2,-1,0,0
0,2,0,2,0,4438,0,0,1,20,0,1,-1,0,0
0,2,0,1,0,1679,0,0,1,20,0,18,-1,0,0
0,9,0,0,0,3057,1,0,1,16,0,4,-1,0,0
2,2,0,3,0,2284,0,0,2,31,0,17,-1,0,0
1,10,0,0,0,10,0,0,0,21,0,4,-1,0,0
2,0,2,0,0,366,1,0,0,3,0,1,-1,0,0
2,3,2,2,0,2323,0,1,0,18,0,10,-1,0,0
2,0,2,0,0,442,1,0,1,28,0,3,-1,0,0
0,3,1,2,0,102,0,0,0,14,0,2,-1,0,0
1,0,0,0,0,2603,0,0,0,11,1,4,-1,0,0
0,5,0,2,0,725,0,0,0,27,1,3,99,8,1
0,0,0,0,0,925,1,0,0,14,2,3,189,4,3
0,2,1,1,0,464,0,0,0,18,0,1,299,2,2
1,3,2,2,0,10787,0,0,1,4,0,2,-1,0,0
1,2,0,2,0,-45,0,0,1,2,0,1,-1,0,0
1,10,1,2,0,502,1,0,0,30,1,1,-1,0,0
0,0,0,0,0,0,0,0,1,3,0,13,-1,0,0
2,7,0,2,0,413,1,0,0,27,0,5,-1,0,0
2,4,1,3,0,1784,1,0,0,19,2,2,-1,0,0
0,1,0,0,0,1047,1,0,1,6,0,1,-1,0,0
0,0,0,0,0,0,1,0,0,10,1,1,96,8,3
2,2,0,2,0,-55,1,0,1,17,0,3,-1,0,0
2,7,0,2,0,466,1,0,1,17,0,4,-1,0,0
0,2,0,1,0,1925,0,0,0,20,1,2,-1,0,0
1,3,0,2,0,556,0,0,0,18,0,2,-1,0,0
2,0,0,1,0,247,0,1,1,14,0,1,-1,0,0
1,2,1,2,0,118,0,0,0,17,0,1,-1,0,0
2,7,0,2,0,344,0,0,1,15,0,1,-1,0,0
0,3,0,0,0,7050,1,0,0,11,0,3,182,4,3
2,0,0,0,0,3163,1,0,0,25,0,6,-1,0,0
1,2,0,2,1,-53,0,0,0,16,1,1,272,1,2
2,4,2,3,0,1877,0,0,1,30,0,1,-1,0,0
1,0,1,0,0,0,1,0,0,5,1,4,-1,0,0
1,2,0,1,0,1317,0,0,1,21,0,2,-1,0,0
1,0,0,0,0,-55,0,0,0,26,0,4,-1,0,0
0,5,2,2,0,7378,1,0,0,18,1,1,-1,0,0
2,0,0,0,0,1859,1,0,2,6,0,3,-1,0,0
0,3,0,2,0,1063,0,0,0,31,0,2,-1,0,0
1,4,1,2,0,0,0,0,1,7,0,7,-1,0,0
2,5,0,2,0,1142,1,0,2,4,1,3,-1,0,0
2,2,2,1,0,-28,1,1,1,2,0,2,-1,0,0
1,3,1,0,0,930,1,0,0,27,0,7,-1,0,0
2,9,0,2,0,687,0,0,0,17,1,1,-1,0,0
0,8,2,2,0,4094,0,0,0,21,1,1,-1,0,0
0,9,1,2,0,2543,1,0,0,10,0,1,414,4,1
2,0,0,0,0,1172,1,0,1,18,0,1,-1,0,0
0,0,1,0,0,1304,1,0,0,6,0,2,-1,0,0
0,2,1,2,0,215,1,0,0,3,2,3,-1,0,0
1,0,1,0,0,-8,1,0,0,13,0,2,-1,0,0
0,0,2,2,0,-17,1,0,0,21,1,4,-1,0,0
0,2,1,2,0,35,0,0,1,3,0,3,-1,0,0
2,0,0,0,0,-375,1,0,0,30,0,2,-1,0,0
1,5,0,2,0,934,0,0,1,4,0,2,-1,0,0
0,5,1,2,0,-247,0,1,2,21,2,1,166,1,2
1,3,0,0,0,569,1,0,0,27,0,12,-1,0,0
2,11,0,2,0,367,1,0,2,2,2,5,-1,0,0
0,1,0,2,0,313,1,0,0,6,0,4,-1,0,0
0,0,0,0,0,1217,0,1,0,18,1,1,-1,0,0
0,5,0,2,0,396,0,0,0,16,0,3,-1,0,0
0,5,2,2,0,1268,0,0,0,15,0,3,-1,0,0
0,2,0,2,0,552,0,0,0,12,0,1,-1,0,0
1,5,1,2,0,4745,1,0,2,12,0,1,181,5,3
2,2,0,2,0,1230,0,0,0,30,1,1,169,1,3
1,0,0,0,0,199,0,1,1,7,0,4,-1,0,0
1,0,1,0,0,88,1,0,0,4,0,1,-1,0,0
0,0,2,0,0,-710,0,0,0,10,0,1,-1,0,0
2,0,0,2,0,4415,0,0,0,8,1,3,141,7,1
1,0,0,0,0,562,1,0,0,21,0,4,-1,0,0
0,3,1,2,0,311,0,0,0,28,0,2,-1,0,0
1,0,0,0,0,1224,0,1,0,24,0,2,-1,0,0
1,0,1,0,0,6248,0,0,1,9,0,2,-1,0,0
0,0,0,0,0,773,1,1,0,9,0,1,-1,0,0
1,5,1,2,0,926,0,1,0,15,0,1,-1,0,0
1,3,1,2,0,230,0,0,0,18,0,1,266,8,1
0,2,0,1,0,2303,0,0,1,17,0,3,-1,0,0
2,7,0,1,0,-37,1,0,1,4,0,2,-1,0,0
1,2,0,1,0,191,0,0,1,9,0,2,-1,0,0
2,7,1,0,0,2144,1,0,0,29,0,1,184,4,3
2,0,1,0,0,0,1,0,1,11,0,3,-1,0,0
2,0,0,0,0,5108,0,0,0,8,2,1,102,8,2
1,10,1,0,0,7513,1,0,0,11,0,2,-1,0,0
2,11,0,3,0,895,1,0,0,7,2,1,-1,0,0
1,2,1,3,0,431,0,0,1,3,0,12,-1,0,0
1,0,1,2,0,63,1,0,0,28,0,4,-1,0,0
0,0,0,0,0,242,1,0,0,30,1,1,-1,0,0
0,2,0,2,0,2160,1,0,0,8,2,1,98,1,3
2,3,0,2,0,1191,1,0,0,21,0,4,-1,0,0
0,1,0,2,0,28,0,0,0,11,0,1,-1,0,0
2,8,0,1,0,3391,1,0,0,21,1,1,-1,0,0
2,7,2,0,0,0,1,0,1,13,0,1,-1,0,0
0,2,0,2,0,0,0,0,0,8,0,2,-1,0,0
2,7,0,2,0,4820,1,0,1,5,0,1,-1,0,0
0,5,0,2,0,644,1,1,2,22,0,1,-1,0,0
1,3,1,2,0,2544,1,0,0,15,0,1,184,3,3
1,3,1,2,0,0,1,0,0,18,0,4,-1,0,0
0,8,0,2,0,1289,1,0,0,15,0,4,415,2,1
0,11,1,0,0,0,1,0,0,11,2,3,95,3,3
0,3,0,2,0,300,1,0,1,9,0,1,-1,0,0
0,3,0,2,0,146,0,1,1,15,0,2,-1,0,0
0,2,2,3,0,172,1,0,0,15,0,1,-1,0,0
2,9,0,2,0,3904,1,0,2,4,0,2,187,2,3
2,3,1,1,0,11262,1,0,0,26,0,1,-1,0,0
1,4,1,2,0,152,0,0,0,25,0,2,-1,0,0
0,3,0,2,0,-259,0,0,0,29,2,1,247,2,1
2,5,0,2,0,3496,0,0,1,2,0,4,-1,0,0
0,6,0,1,0,1,0,0,2,28,0,5,-1,0,0
2,2,0,1,0,4503,1,0,2,21,1,3,-1,0,0
2,0,0,0,0,997,1,0,0,10,2,1,-1,0,0
2,7,2,1,0,1097,1,0,2,5,2,1,-1,0,0
0,3,2,2,0,1413,0,0,2,28,0,3,-1,0,0
1,8,0,2,0,596,1,0,0,30,2,2,-1,0,0
1,1,1,0,0,4579,1,0,0,12,2,2,-1,0,0
0,1,2,0,0,1354,0,0,1,23,0,2,-1,0,0
0,4,0,2,0,-540,1,0,1,6,0,1,-1,0,0
1,3,2,2,1,10,0,1,0,18,1,5,-1,0,0
1,3,1,0,0,1129,0,0,1,28,0,1,-1,0,0
2,7,2,2,0,4079,1,0,0,19,2,3,-1,0,0
0,0,1,0,0,104,0,0,0,6,0,3,-1,0,0
2,0,1,0,0,297,0,0,0,15,0,4,375,1,1
2,0,1,0,0,151,0,0,0,8,0,3,-1,0,0
0,2,0,1,0,704,1,0,1,18,0,7,-1,0,0
1,2,1,2,1,447,1,0,1,14,0,6,-1,0,0
0,5,1,0,0,980,1,0,0,11,1,4,104,7,1
1,4,2,1,0,459,0,0,0,7,0,1,293,1,3
1,1,1,2,0,1086,1,0,0,20,1,1,-1,0,0
0,5,1,2,0,0,0,0,0,13,0,1,-1,0,0
0,0,0,0,0,477,0,0,1,20,0,6,-1,0,0
1,5,0,2,0,1031,0,0,0,17,0,1,-1,0,0
1,0,1,0,0,2380,1,0,0,14,2,2,-1,0,0
2,0,0,1,0,76,0,0,2,18,0,4,-1,0,0
0,2,0,2,0,498,0,0,0,8,0,2,298,4,1
0,0,0,1,0,5310,0,0,0,17,1,1,-1,0,0
2,4,0,2,0,0,1,1,1,26,0,3,-1,0,0
2,2,0,2,0,2087,0,0,0,31,0,1,474,1,1
1,0,0,0,0,156,1,0,0,13,0,7,-1,0,0
2,7,2,2,0,138,1,0,0,17,0,1,-1,0,0
2,2,0,2,0,333,0,0,0,14,0,6,-1,0,0
2,3,0,1,0,4198,1,0,0,14,2,1,91,10,3
0,3,1,2,0,-242,0,0,0,13,0,6,-1,0,0
1,1,0,2,0,217,0,1,0,15,0,5,-1,0,0
0,2,0,1,0,123,0,0,0,18,0,1,-1,0,0
2,0,2,0,0,9756,0,0,0,5,0,2,95,1,2
2,8,2,1,0,802,1,0,2,3,1,2,-1,0,0
1,3,1,2,0,2085,1,0,0,9,1,2,-1,0,0
0,4,1,2,0,-196,0,0,0,2,1,1,271,1,1
0,3,0,1,0,-322,1,0,1,9,0,2,-1,0,0
0,2,0,2,0,0,0,0,1,6,0,1,-1,0,0
0,5,2,2,0,2232,1,0,0,13,1,1,-1,0,0
2,8,0,2,0,3357,1,0,0,9,0,4,-1,0,0
1,1,0,0,0,751,0,0,1,23,0,2,-1,0,0
0,5,0,2,0,957,0,0,1,21,0,1,-1,0,0
0,9,0,1,0,39,0,0,0,21,1,2,-1,0,0
2,7,1,2,0,351,0,0,1,27,0,5,-1,0,0
1,5,0,0,0,79,0,0,0,22,2,2,335,2,1
1,10,1,1,0,3472,1,0,0,20,2,1,183,3,1
2,8,0,2,0,817,1,0,0,14,2,1,282,4,3
0,2,0,1,0,255,0,0,0,17,0,1,-1,0,0
1,5,0,2,0,0,0,0,2,17,0,7,-1,0,0
2,7,0,2,0,2850,1,0,0,17,1,1,-1,0,0
2,3,2,0,0,-1148,0,1,1,27,0,2,-1,0,0
0,5,2,2,0,59,0,0,0,24,0,8,-1,0,0
2,0,0,0,0,1808,0,0,0,26,1,1,-1,0,0
1,2,0,2,0,889,0,0,0,10,2,1,99,5,3
2,0,0,0,0,0,1,0,0,19,0,4,-1,0,0
1,0,1,2,0,171,1,0,0,10,2,1,-1,0,0
2,4,2,0,0,1983,0,0,2,19,1,1,-1,0,0
2,7,0,2,0,0,1,0,1,5,0,1,-1,0,0
1,0,0,0,0,0,0,0,0,9,0,1,-1,0,0
1,0,1,0,0,170,1,0,0,15,0,1,-1,0,0
1,4,1,0,0,-477,1,1,0,21,0,2,-1,0,0
2,7,0,1,0,796,1,0,0,23,2,1,182,2,1
2,7,0,0,0,226,1,0,2,6,1,1,-1,0,0
2,2,0,2,0,2059,0,0,0,25,0,4,-1,0,0
0,3,1,2,0,16,1,0,0,13,0,1,-1,0,0
1,5,2,2,1,-18,0,0,1,12,0,3,-1,0,0
0,2,2,1,0,92,0,0,1,15,0,2,-1,0,0
1,5,2,2,1,-3,0,0,1,13,0,5,-1,0,0
1,8,1,2,0,622,1,0,0,28,2,2,-1,0,0
1,2,1,2,0,315,1,0,0,23,0,1,-1,0,0
1,0,1,0,0,437,1,0,0,5,0,1,92,1,3
2,7,2,2,0,5845,1,0,0,14,0,2,-1,0,0
2,0,0,0,0,19447,0,1,0,21,1,1,-1,0,0
1,2,1,1,0,882,1,1,0,29,0,8,-1,0,0
2,6,0,1,0,201,0,0,0,7,0,2,382,1,1
2,0,1,0,0,2139,1,0,0,17,1,2,-1,0,0
2,7,0,3,0,426,1,0,2,9,2,1,90,1,3
1,2,0,2,0,467,0,0,1,21,0,2,-1,0,0
0,0,0,0,0,5106,1,0,0,30,1,1,-1,0,0
1,10,1,2,0,8,1,0,0,22,1,2,-1,0,0
0,5,2,2,0,3636,1,1,0,21,1,2,-1,0,0
0,0,1,0,0,0,1,0,0,7,2,1,-1,0,0
0,0,1,0,0,1696,0,0,0,26,0,1,474,3,1
0,4,2,2,0,1959,0,0,1,30,0,1,-1,0,0
0,0,0,3,0,419,0,0,0,10,0,1,-1,0,0
0,3,0,3,0,189,1,0,0,1,2,1,107,2,3
1,2,0,2,0,687,0,0,0,14,0,2,370,1,1
1,4,1,2,0,473,0,0,0,7,0,5,-1,0,0
1,2,1,2,0,2145,0,0,0,18,0,2,-1,0,0
2,7,0,0,0,9676,1,0,2,27,2,2,-1,0,0
1,10,1,0,0,5291,1,0,0,12,1,2,92,2,1
0,3,1,2,0,7138,1,0,0,8,0,2,-1,0,0
1,5,1,2,0,747,0,0,1,26,0,2,-1,0,0
0,3,2,0,0,1871,0,0,0,17,1,1,-1,0,0
2,7,0,1,0,3334,1,0,0,14,0,4,-1,0,0
1,2,0,2,0,-498,0,0,0,21,0,1,-1,0,0
0,5,1,1,0,0,0,1,0,6,0,4,-1,0,0
1,8,0,0,0,302,0,1,0,16,1,1,-1,0,0
2,3,0,2,0,1219,1,0,0,18,0,4,-1,0,0
2,7,0,2,0,1044,1,0,2,3,0,2,-1,0,0
1,4,0,2,0,0,0,0,0,22,0,13,-1,0,0
0,0,0,0,0,372,0,0,0,3,0,2,-1,0,0
0,2,2,1,0,1792,0,0,0,31,0,6,-1,0,0
0,0,0,3,0,5172,0,0,1,29,0,3,-1,0,0
2,2,2,1,0,-191,0,0,1,15,0,1,-1,0,0
0,2,0,2,0,67,1,0,1,3,0,2,-1,0,0
0,6,0,1,0,7353,1,0,0,13,0,2,-1,0,0
2,3,0,2,0,1167,0,0,0,30,1,1,87,5,1
2,1,2,0,0,13,0,0,0,20,1,1,-1,0,0
0,3,0,2,0,2776,0,0,0,27,2,1,-1,0,0
1,3,0,0,0,636,0,0,0,4,0,4,-1,0,0
