age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
47,8,0,2,0,3188,0,0,0,1,7,3,-1,0,0,0
25,10,1,0,0,1433,0,0,0,0,1,1,-1,0,0,0
39,2,0,3,0,0,1,0,0,1,7,1,193,3,1,0
33,4,0,2,0,804,0,1,1,0,1,1,-1,0,0,0
34,3,0,0,0,544,0,1,0,1,3,2,-1,0,0,0
54,4,0,2,0,812,1,0,0,0,0,6,-1,0,0,0
31,4,0,2,0,500,0,0,1,0,9,18,-1,0,0,0
47,0,0,0,0,6637,0,0,0,1,4,2,-1,0,0,0
41,0,0,0,0,3016,0,0,0,0,0,3,-1,0,0,0
36,3,2,2,0,487,1,1,0,0,2,3,-1,0,0,0
38,4,0,2,0,8876,1,0,0,1,7,1,75,1,1,0
56,0,0,0,0,334,0,0,1,0,1,2,-1,0,0,0
35,3,1,0,0,3552,1,0,0,1,3,1,-1,0,0,0
47,0,1,0,0,0,1,0,1,0,9,3,-1,0,0,0
30,5,0,0,0,400,0,0,0,0,1,1,-1,0,0,0
31,5,0,2,0,314,0,0,0,1,4,1,-1,0,0,0
58,2,0,1,0,0,0,0,0,0,0,25,-1,0,0,0
45,6,0,1,0,7353,1,0,0,0,2,2,-1,0,0,0
37,2,0,2,0,67,1,0,1,0,9,2,-1,0,0,0
48,2,0,2,0,841,0,0,1,0,1,1,-1,0,0,0
44,0,0,0,0,773,1,1,0,0,0,1,-1,0,0,0
33,8,0,0,0,302,0,1,0,1,4,1,-1,0,0,0
47,6,0,1,0,201,0,0,0,0,2,2,382,1,1,0
30,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0
32,0,0,0,0,-55,0,0,0,0,2,4,-1,0,0,0
36,3,0,2,0,300,1,0,1,0,9,1,-1,0,0,0
52,4,0,2,0,108,0,0,1,0,1,12,-1,0,0,0
41,0,0,0,0,3872,1,0,0,2,10,1,-1,0,0,0
31,1,1,2,0,1086,1,0,0,1,3,1,-1,0,0,0
50,4,1,2,0,72,1,0,1,0,1,2,-1,0,0,0
38,3,0,2,0,0,1,0,0,0,2,4,-1,0,0,0
57,0,0,0,0,0,1,0,0,0,2,4,-1,0,0,0
25,2,0,2,0,-76,0,0,1,0,1,3,-1,0,0,0
55,4,2,0,0,1983,0,0,2,1,3,1,-1,0,0,0
50,0,2,0,0,100,0,1,0,0,1,1,299,3,1,0
60,0,0,1,0,252,0,1,0,1,4,2,147,3,1,0
37,2,0,2,0,103,0,0,0,0,1,1,-1,0,0,0
32,2,0,1,0,329,0,0,0,1,7,1,-1,0,0,0
41,1,0,0,0,6000,0,0,0,1,3,1,-1,0,0,0
51,0,0,0,0,1612,1,0,0,2,11,1,182,5,1,0
37,3,2,2,0,23,1,0,0,0,2,2,-1,0,0,0
41,3,0,0,0,0,1,0,1,0,9,1,-1,0,0,0
46,0,0,0,0,477,0,0,1,0,1,6,-1,0,0,0
54,0,2,0,0,26306,0,0,0,1,7,1,84,3,1,0
28,4,1,2,0,2685,1,1,1,0,2,1,-1,0,0,0
47,5,0,2,0,104,0,1,0,0,0,2,-1,0,0,0
60,7,0,2,0,4820,1,0,1,0,9,1,-1,0,0,0
34,3,1,2,0,5039,1,0,0,1,3,6,-1,0,0,0
58,7,2,0,0,264,0,1,0,0,0,3,-1,0,0,0
83,7,2,1,0,0,1,0,2,0,1,1,77,3,3,0
31,3,2,2,0,10787,0,0,1,0,9,2,-1,0,0,0
39,4,0,2,0,-540,1,0,1,0,9,1,-1,0,0,0
32,3,2,2,0,1097,0,0,1,0,1,2,-1,0,0,0
50,2,0,1,0,1164,0,0,1,0,1,2,-1,0,0,0
39,0,0,0,0,0,0,0,1,0,9,2,-1,0,0,0
38,2,2,2,0,889,1,1,1,0,9,1,-1,0,0,0
31,0,0,0,0,582,0,0,0,0,0,2,-1,0,0,0
32,2,1,2,0,33,0,0,0,0,1,1,368,4,1,0
37,5,1,2,0,0,0,0,0,1,4,2,-1,0,0,0
27,4,1,2,0,0,0,0,1,0,1,7,-1,0,0,0
37,5,2,0,0,4303,0,0,1,0,1,1,-1,0,0,0
43,3,2,2,0,1413,0,0,2,0,0,3,-1,0,0,0
40,2,0,2,0,498,0,0,0,0,1,2,298,4,1,0
32,5,0,2,0,0,1,0,0,2,8,3,-1,0,0,0
45,5,0,2,0,638,0,0,0,0,2,9,-1,0,0,0
43,2,0,1,0,255,0,0,0,0,0,1,-1,0,0,0
34,5,2,2,0,1268,0,0,0,0,1,3,-1,0,0,0
54,2,2,1,0,-182,1,0,0,0,0,1,-1,0,0,0
43,3,1,2,0,593,0,0,1,0,1,1,-1,0,0,0
26,5,1,2,0,236,0,1,0,0,1,2,-1,0,0,0
57,3,0,2,0,589,0,0,0,1,7,1,76,4,1,0
41,0,2,0,0,369,0,0,2,0,2,3,-1,0,0,0
29,4,2,2,0,330,0,0,1,0,1,2,-1,0,0,0
32,2,1,2,0,-84,0,0,0,0,1,1,-1,0,0,0
48,0,0,1,0,247,0,1,1,0,1,1,-1,0,0,0
34,2,0,1,0,176,1,0,0,0,0,1,-1,0,0,0
52,0,0,0,0,-1224,0,0,0,0,1,4,-1,0,0,0
49,3,0,2,1,-1680,0,1,1,0,9,4,-1,0,0,0
33,2,0,2,0,467,0,0,1,0,1,2,-1,0,0,0
34,5,0,2,0,50,0,0,1,0,1,2,-1,0,0,0
59,8,2,2,0,2921,1,0,2,1,7,1,-1,0,0,0
35,0,1,0,0,0,1,1,0,0,2,4,-1,0,0,0
45,5,0,3,0,1783,1,0,1,0,9,11,-1,0,0,0
34,3,0,2,0,0,0,0,0,0,0,1,-1,0,0,0
32,9,0,3,0,73,0,0,0,1,3,1,135,1,1,0
29,2,0,2,0,358,1,0,0,0,0,5,-1,0,0,0
51,1,0,1,0,307,0,1,1,0,9,2,-1,0,0,0
28,4,1,2,0,-427,0,1,1,0,1,2,-1,0,0,0
28,0,1,0,0,1027,0,0,0,0,1,1,-1,0,0,0
38,10,1,0,0,807,1,0,0,1,7,2,-1,0,0,0
31,0,0,0,0,8312,1,0,0,0,2,13,-1,0,0,0
32,3,1,2,0,2979,1,0,0,0,1,1,-1,0,0,0
35,0,0,0,0,0,1,0,0,0,0,1,-1,0,0,0
34,2,1,1,0,464,0,0,0,0,1,1,299,2,2,0
52,2,0,1,0,36,1,0,0,0,2,2,-1,0,0,0
39,4,2,2,0,282,0,0,0,0,0,1,-1,0,0,0
32,1,0,2,0,217,0,1,0,0,0,5,-1,0,0,0
54,2,0,2,0,2059,0,0,0,0,2,4,-1,0,0,0
53,0,0,1,0,4086,1,0,1,0,9,3,-1,0,0,0
40,5,1,2,0,-1,1,0,0,0,0,1,-1,0,0,0
45,3,0,1,0,-322,1,0,1,0,9,2,-1,0,0,0
58,0,0,0,0,9339,0,0,2,1,3,3,172,3,2,0
50,4,1,1,0,148,0,0,1,0,1,2,-1,0,0,0
54,4,0,2,0,158,0,0,1,0,1,1,-1,0,0,0
47,9,0,3,0,209,0,0,1,0,1,2,-1,0,0,0
61,0,0,2,0,1471,1,0,0,0,2,2,-1,0,0,0
35,5,2,2,0,148,1,1,0,0,0,1,-1,0,0,0
51,2,2,1,0,-28,1,1,1,0,0,2,-1,0,0,0
40,3,0,2,0,0,0,1,0,0,0,2,172,1,1,0
38,2,0,2,0,376,0,0,1,0,1,1,-1,0,0,0
45,3,0,2,0,1477,0,0,0,0,0,1,-1,0,0,0
40,0,2,0,0,69,0,0,0,0,1,2,280,2,1,0
36,4,0,2,0,1981,1,0,1,0,9,2,-1,0,0,0
29,1,1,2,0,3672,0,1,1,0,1,1,-1,0,0,0
32,9,1,0,0,890,0,1,0,0,2,10,-1,0,0,0
38,3,0,2,0,7696,0,0,0,1,3,2,-1,0,0,0
45,5,0,2,0,644,1,1,2,0,0,1,-1,0,0,0
31,3,1,2,1,25,1,0,0,1,7,1,-1,0,0,0
37,0,0,0,0,347,0,0,0,0,0,1,-1,0,0,0
26,5,0,0,0,2855,1,0,0,2,11,3,-1,0,0,0
37,9,0,0,0,4798,0,0,1,0,1,2,-1,0,0,0
54,9,0,0,0,1544,1,1,0,1,7,7,196,3,1,0
37,2,0,2,0,685,0,0,1,0,9,1,-1,0,0,0
56,11,0,3,0,0,1,0,1,0,9,2,-1,0,0,0
33,2,0,2,0,687,0,0,0,0,1,2,370,1,1,0
38,0,1,0,0,1704,1,0,0,2,5,1,-1,0,0,0
54,2,0,1,0,4503,1,0,2,1,3,3,-1,0,0,0
49,0,1,1,0,548,1,0,2,0,0,6,-1,0,0,0
51,3,2,2,0,2323,0,1,0,0,2,10,-1,0,0,0
38,6,0,2,0,-278,0,0,0,0,0,2,-1,0,0,0
56,0,1,2,0,237,0,0,2,0,0,4,-1,0,0,0
47,2,0,2,0,0,0,0,0,0,0,1,-1,0,0,0
50,0,0,0,0,78,0,0,0,2,8,3,161,9,2,0
40,3,2,0,0,1871,0,0,0,1,3,1,-1,0,0,0
27,0,1,0,0,88,1,0,0,0,1,1,-1,0,0,0
57,6,1,2,0,254,1,0,0,2,10,1,-1,0,0,0
48,3,0,0,0,0,1,0,2,0,2,15,-1,0,0,0
36,2,0,2,0,2357,0,0,1,0,9,2,-1,0,0,0
56,4,0,2,0,-229,1,1,0,0,0,10,-1,0,0,0
44,1,0,2,0,313,1,0,0,0,2,4,-1,0,0,0
47,11,0,3,0,677,1,0,0,0,2,1,99,4,3,0
28,2,0,2,0,64,0,0,1,0,1,3,-1,0,0,0
58,5,0,2,0,1142,1,0,2,1,7,3,-1,0,0,0
26,1,1,0,0,1153,1,0,0,0,1,3,-1,0,0,0
52,2,0,1,0,-133,1,0,1,0,9,2,-1,0,0,0
41,5,0,2,0,8238,0,1,1,0,1,4,-1,0,0,0
54,0,0,0,0,2819,1,0,0,0,2,3,-1,0,0,0
42,1,0,2,0,5564,1,0,0,1,3,2,-1,0,0,0
45,3,0,2,0,88,1,0,0,0,2,2,-1,0,0,0
37,2,0,2,0,131,0,0,1,0,1,2,-1,0,0,0
54,0,2,0,0,0,1,1,0,0,0,1,-1,0,0,0
53,9,0,2,0,-118,0,0,1,0,1,3,-1,0,0,0
26,0,1,0,0,205,1,0,1,0,1,1,-1,0,0,0
31,4,0,2,0,-331,0,0,1,0,1,5,-1,0,0,0
48,2,0,2,0,333,0,0,0,0,1,6,-1,0,0,0
56,4,2,3,0,1877,0,0,1,0,1,1,-1,0,0,0
31,3,1,0,0,969,1,0,0,0,9,1,-1,0,0,0
29,0,0,0,0,361,0,1,0,0,0,3,-1,0,0,0
36,3,0,2,0,146,0,1,1,0,1,2,-1,0,0,0
36,5,0,3,0,2323,1,0,0,1,3,1,-1,0,0,0
50,9,0,0,0,52,1,0,0,0,0,8,-1,0,0,0
33,0,2,0,1,280,1,1,0,1,3,1,-1,0,0,0
30,2,0,2,0,125,0,0,1,0,1,2,-1,0,0,0
41,3,0,0,0,13,1,0,1,0,9,2,-1,0,0,0
36,0,1,0,0,678,1,1,1,0,0,3,-1,0,0,0
31,2,0,1,0,0,0,1,1,0,1,4,-1,0,0,0
41,5,0,2,0,21515,0,0,1,0,9,1,-1,0,0,0
60,8,2,2,0,385,0,0,0,1,7,1,-1,0,0,0
31,2,0,2,0,-498,0,0,0,0,0,1,-1,0,0,0
35,3,1,0,0,2288,1,0,2,0,1,2,-1,0,0,0
50,1,0,2,0,3025,1,1,0,0,2,3,-1,0,0,0
49,2,0,1,0,902,1,0,1,0,9,2,-1,0,0,0
33,3,2,2,1,10,0,1,0,1,3,5,-1,0,0,0
29,4,0,2,0,182,0,0,2,0,1,3,-1,0,0,0
32,4,1,2,0,473,0,0,0,0,0,5,-1,0,0,0
30,0,0,0,0,562,1,0,0,0,2,4,-1,0,0,0
28,2,1,2,0,56,0,0,1,0,1,1,-1,0,0,0
33,0,0,0,0,287,0,0,0,0,1,2,274,3,2,0
35,3,2,2,0,56,1,0,0,0,2,12,-1,0,0,0
34,0,1,3,0,1534,0,0,0,1,4,1,147,7,2,0
37,9,1,2,0,20453,0,0,2,0,1,1,-1,0,0,0
47,0,2,0,0,447,1,1,1,0,1,1,-1,0,0,0
46,3,0,2,0,1322,0,1,0,1,3,1,-1,0,0,0
43,3,0,2,0,764,0,0,0,0,0,5,-1,0,0,0
31,0,1,0,0,6248,0,0,1,0,1,2,-1,0,0,0
37,2,0,2,0,346,0,0,0,1,4,1,316,1,1,0
39,4,0,2,0,0,0,0,1,0,1,2,-1,0,0,0
42,8,2,0,0,-166,1,0,0,0,2,4,-1,0,0,0
39,3,0,0,0,794,1,0,2,1,7,1,-1,0,0,0
46,2,0,1,0,328,0,0,1,0,1,8,-1,0,0,0
26,4,1,2,0,127,0,1,0,0,0,3,-1,0,0,0
24,2,1,3,0,431,0,0,1,0,9,12,-1,0,0,0
36,0,0,0,0,605,0,0,1,0,1,1,-1,0,0,0
42,6,0,1,0,1,0,0,2,0,0,5,-1,0,0,0
35,3,2,2,0,473,0,1,1,0,1,4,-1,0,0,0
36,5,0,2,0,725,0,0,0,1,7,3,99,8,1,0
47,5,2,2,0,162,0,0,1,0,1,4,-1,0,0,0
32,2,0,2,0,687,0,0,1,0,1,1,-1,0,0,0
33,0,1,0,0,-53,1,0,0,2,8,2,-1,0,0,0
57,5,0,2,0,169,1,0,0,0,2,1,106,2,1,0
40,0,1,2,0,192,0,0,1,0,1,11,-1,0,0,0
38,2,0,2,0,1205,0,0,0,1,4,4,153,1,1,0
46,2,0,1,0,147,0,0,0,0,1,2,169,3,1,0
35,11,0,1,0,634,1,0,0,0,0,2,-1,0,0,0
54,7,0,2,0,3671,1,0,1,0,9,3,-1,0,0,0
32,9,0,1,0,795,1,0,0,0,2,3,-1,0,0,0
56,0,2,0,0,442,1,0,1,0,1,3,-1,0,0,0
52,11,0,3,0,1317,1,0,1,0,9,1,-1,0,0,0
49,4,0,2,0,47,1,0,1,0,1,2,-1,0,0,0
35,3,0,2,0,2,1,0,2,2,8,3,-1,0,0,0
32,5,1,0,0,-59,1,1,1,0,0,1,-1,0,0,0
49,2,0,2,0,-55,1,0,1,0,9,3,-1,0,0,0
38,3,1,2,0,311,0,0,0,0,1,2,-1,0,0,0
30,1,0,2,0,123,1,1,1,0,0,1,85,5,2,0
50,2,0,2,0,810,0,0,1,0,1,14,-1,0,0,0
40,3,0,2,0,697,1,0,0,0,9,2,219,2,2,0
35,0,1,0,0,633,0,0,0,1,4,3,-1,0,0,0
47,2,0,2,0,480,0,0,1,0,1,2,-1,0,0,0
28,3,1,2,0,389,0,0,0,0,1,7,-1,0,0,0
32,3,1,0,0,1012,1,0,0,1,4,1,-1,0,0,0
34,5,0,2,0,396,0,0,0,0,0,3,-1,0,0,0
35,2,0,2,0,407,0,0,0,1,4,6,-1,0,0,0
32,0,1,0,0,1218,0,0,2,2,8,2,-1,0,0,0
34,0,0,0,0,0,0,0,1,0,1,2,-1,0,0,0
33,2,0,1,0,191,0,0,1,0,1,2,-1,0,0,0
32,8,0,2,0,10,0,0,1,0,1,4,-1,0,0,0
34,4,2,2,0,44,1,0,1,0,9,1,-1,0,0,0
58,7,0,2,0,413,1,0,0,0,2,5,-1,0,0,0
36,2,0,2,0,439,0,0,1,0,1,5,-1,0,0,0
37,5,0,0,0,0,0,0,0,0,0,1,-1,0,0,0
53,3,0,2,0,2647,0,0,1,0,1,1,-1,0,0,0
35,3,2,2,0,69,0,0,1,0,1,3,-1,0,0,0
28,2,0,2,0,1020,0,0,1,0,1,1,-1,0,0,0
49,5,0,2,0,2465,1,0,0,0,2,3,-1,0,0,0
38,0,1,0,0,493,0,0,0,0,1,1,367,7,1,0
38,4,1,2,0,-196,0,0,0,1,7,1,271,1,1,0
53,0,0,0,0,1343,1,0,0,0,2,4,-1,0,0,0
57,6,0,2,0,0,1,0,0,0,2,2,-1,0,0,0
44,4,1,2,0,106,1,0,1,0,9,2,-1,0,0,0
41,0,2,0,0,4567,0,1,0,0,0,1,-1,0,0,0
62,11,0,2,0,367,1,0,2,2,11,5,-1,0,0,0
31,2,0,2,0,0,1,1,2,0,0,2,-1,0,0,0
30,0,1,0,0,6495,1,0,0,2,11,3,-1,0,0,0
30,2,1,2,1,447,1,0,1,0,1,6,-1,0,0,0
34,3,1,2,0,201,1,0,0,0,0,2,-1,0,0,0
29,1,0,0,0,751,0,0,1,0,1,2,-1,0,0,0
59,0,0,0,0,2764,1,0,0,2,6,1,206,2,1,0
53,2,0,2,0,4380,1,0,2,0,2,7,-1,0,0,0
34,0,0,0,0,2594,0,0,0,1,3,3,-1,0,0,0
33,5,0,2,0,1158,0,0,0,1,4,2,-1,0,0,0
35,0,0,0,0,2682,0,0,0,0,0,1,-1,0,0,0
42,2,2,3,0,0,1,0,0,0,0,2,-1,0,0,0
29,9,0,2,0,452,0,0,1,0,1,1,-1,0,0,0
39,3,1,0,0,-41,1,1,0,0,2,15,-1,0,0,0
36,0,0,0,0,1852,1,0,1,0,1,1,-1,0,0,0
48,0,1,2,0,290,0,0,0,0,0,2,-1,0,0,0
31,3,1,2,0,433,1,0,0,0,2,2,-1,0,0,0
34,2,2,2,0,-566,0,0,1,0,1,2,-1,0,0,0
38,3,1,0,0,0,1,0,0,0,2,2,-1,0,0,0
26,2,1,2,0,396,0,0,1,0,1,1,-1,0,0,0
55,5,0,2,0,0,1,0,0,2,5,2,238,3,3,0
31,0,0,2,0,625,0,0,0,1,4,1,138,1,1,0
58,0,1,0,0,2,0,0,2,0,1,3,-1,0,0,0
48,3,0,2,0,5,1,0,1,0,9,6,-1,0,0,0
55,7,0,2,0,1467,1,1,0,0,0,2,-1,0,0,0
58,7,2,3,0,5920,0,0,0,0,0,1,-1,0,0,0
53,3,2,2,0,320,1,0,0,0,0,1,-1,0,0,0
35,2,0,1,0,0,0,0,0,0,0,6,-1,0,0,0
54,1,2,1,0,4382,0,0,2,0,1,4,-1,0,0,0
30,4,1,2,0,3485,1,0,0,1,7,2,-1,0,0,0
30,10,1,0,0,7513,1,0,0,0,2,2,-1,0,0,0
54,0,2,0,0,1295,0,0,0,0,0,10,-1,0,0,0
39,4,0,2,0,124,0,0,0,0,0,5,-1,0,0,0
40,0,0,0,0,60,1,0,1,0,9,6,-1,0,0,0
51,0,1,0,0,2139,1,0,0,1,3,2,-1,0,0,0
52,3,0,2,0,1781,0,0,1,0,1,2,-1,0,0,0
26,4,2,2,0,74,0,0,1,0,1,6,-1,0,0,0
24,2,0,2,0,204,0,1,0,1,4,3,-1,0,0,0
41,1,0,2,0,28,0,0,0,0,1,1,-1,0,0,0
41,0,1,2,0,764,1,0,0,0,9,2,-1,0,0,0
27,2,0,2,0,818,0,0,1,0,9,5,-1,0,0,0
39,5,1,2,0,163,0,0,0,2,8,2,-1,0,0,0
37,0,0,0,0,3288,1,0,0,0,2,2,-1,0,0,0
55,2,0,1,0,627,0,0,1,0,1,1,-1,0,0,0
30,3,1,0,0,985,0,0,0,1,7,2,-1,0,0,0
34,5,1,1,0,0,0,1,0,0,1,4,-1,0,0,0
53,9,0,3,0,7,1,0,0,1,3,1,-1,0,0,0
37,4,0,2,0,4760,0,0,0,1,3,2,-1,0,0,0
